lng,lat,人均价格,星级,口味,环境,服务
121.433727,31.312781,25,3.6,3.5,3.6,3.6
121.450210999999,31.2211099999999,47,3.8,3.8,3.7,3.7
121.474508,31.250184,12,3.5,3.4,3.2,3.3
121.441981999999,31.2524419999999,20,3.7,3.6,3.6,3.6
121.418493999999,31.2860489999999,22,3.7,3.7,3.6,3.6
121.422352,31.2305759999999,41,3.6,3.6,3.6,3.6
121.474945,31.2474409999999,27,3.5,3.6,3.6,3.5
121.422562999999,31.230599,32,3.9,3.9,3.9,3.9
121.442226,31.3096539999999,5,3.8,3.8,3.6,3.8
121.422287999999,31.230682,10,3.5,3.5,3.5,3.5
121.441119,31.2650149999999,26,3.6,3.6,3.5,3.5
121.418558,31.2856039999999,14,3.5,3.5,3.5,3.5
121.465832,31.23112,22,3.7,3.7,3.6,3.6
121.420728999999,31.273995,13,3.6,3.6,3.6,3.6
121.445057,31.257154,6,3.5,3.6,3.4,3.5
121.475268,31.260701,21,3.7,3.7,3.5,3.6
121.422434999999,31.230358,29,3.8,3.9,3.9,3.8
121.476481,31.246167,18,3.8,3.8,3.8,3.8
121.433463,31.312754,10,3.7,3.7,3.6,3.7
121.47499,31.2482159999999,25,3.6,3.6,3.6,3.6
121.472059,31.258403,18,3.6,3.6,3.5,3.6
121.463094999999,31.313046,28,3.6,3.6,3.7,3.6
121.460826999999,31.2856179999999,9,3.6,3.6,3.5,3.6
121.421469999999,31.2785769999999,13,3.7,3.7,3.6,3.7
121.422568999999,31.2299229999999,16,3.7,3.4,3.7,3.8
121.432916,31.317689,4,3.7,3.7,3.6,3.6
121.432406999999,31.31872,13,3.7,3.7,3.7,3.7
121.466001,31.261838,11,3.7,3.7,3.4,3.6
121.436946,31.266399,8,3.7,3.8,3.4,3.7
121.425799999999,31.277422,13,3.7,3.6,3.6,3.7
121.445159,31.257166,56,3.6,3.6,3.5,3.5
121.421864999999,31.279762,16,3.6,3.6,3.5,3.5
121.424155999999,31.233829,24,3.6,3.6,3.5,3.6
121.441970999999,31.263947,13,3.5,3.6,3.5,3.5
121.432372999999,31.318826,5,3.5,3.4,3.3,3.4
121.420874999999,31.2736039999999,27,3.5,3.5,3.5,3.5
121.422631999999,31.230259,13,3.5,3.6,3.6,3.6
121.468367999999,31.266262,25,3.5,3.5,3.5,3.5
121.428865,31.240084,5,3.5,3.5,3.4,3.5
121.420905,31.273564,4,3.5,3.5,3.4,3.5
121.473353,31.2472309999999,7,3.5,3.1,2.8,2.9
121.472376999999,31.2472449999999,5,3.4,3.3,3.2,3.2
121.459017,31.227029,17,3.4,3.3,3.3,3.4
121.463173999999,31.240919,22,3.4,3.5,3.4,3.4
121.461138,31.27975,24,3.4,3.4,3.4,3.4
121.422563999999,31.279761,19,3.4,3.5,3.5,3.5
121.459873,31.282385,20,3.2,3.4,3.4,3.4
121.443005999999,31.217419,18,3.4,3.5,3.4,3.4
121.464085999999,31.2712399999999,11,3.3,3.4,3.3,3.3
121.443758,31.255716,41,3.3,3.3,3.4,3.4
121.430899999999,31.225404,5,3.3,3.5,3.4,3.4
121.450222999999,31.221301,11,3.4,3.5,3.4,3.4
121.421469,31.280087,15,3.2,3.3,3.4,3.3
121.462162,31.2413029999999,10,3.4,3.4,3.4,3.4
121.418756999999,31.284396,19,3.4,3.4,3.4,3.4
121.437627,31.2662489999999,7,3.4,3.5,3.4,3.5
121.460536,31.273727,14,3.3,3.4,3.5,3.5
121.452263,31.223346,29,3.3,3.3,3.3,3.3
121.474239999999,31.2615419999999,34,3.8,3.8,3.6,3.7
121.422043,31.230674,29,3.9,3.9,4,3.9
121.434443,31.216749,26,3.9,3.9,3.9,3.9
121.462636,31.321445,49,4.3,4,4,3.9
121.477361999999,31.2466079999999,25,3.6,3.6,3.6,3.6
121.47566,31.247678,16,3.6,3.6,3.4,3.6
121.474995,31.260877,25,3.9,3.8,3.7,3.8
121.441924999999,31.2640509999999,15,3.7,3.6,3.4,3.5
121.423446999999,31.23355,34,3.5,3.5,3.6,3.5
121.475275999999,31.260977,23,3.5,3.5,3.6,3.6
121.431685999999,31.2714019999999,20,3.9,3.9,3.7,3.8
121.452898,31.222145,25,3.8,3.7,3.7,3.8
121.433563,31.240721,17,3.7,3.7,3.7,3.8
121.418943999999,31.2860599999999,7,3.7,3.7,3.7,3.7
121.463164,31.281655,25,3.7,3.6,3.6,3.7
121.472491,31.253977,7,3.7,3.6,3.5,3.6
121.433329,31.315232,16,3.7,3.6,3.6,3.6
121.478185999999,31.2451919999999,28,3.6,3.6,3.6,3.6
121.421232,31.280259,18,3.6,3.7,3.6,3.6
121.450203,31.221361,28,3.6,3.6,3.2,3.5
121.450158,31.221304,22,3.6,3.7,3.4,3.6
121.422490999999,31.230312,14,3.6,3.6,3.6,3.6
121.470580999999,31.2648569999999,26,3.5,3.5,3.4,3.5
121.438471,31.253661,23,3.4,3.4,3.4,3.4
121.474181,31.257735,19,3.4,3.4,3.3,3.4
121.344379,31.2120439999999,30,3.7,3.7,3.7,3.7
121.415402,31.1933119999999,24,3.7,3.7,3.7,3.7
121.367919,31.191439,37,3.6,3.6,3.5,3.5
121.397833,31.190287,37,3.9,4,4.1,4
121.397732,31.190069,57,3.9,3.9,3.3,3.2
121.367703,31.191302,18,3.6,3.7,3.8,3.6
121.421163,31.2137439999999,25,4,4.1,3.6,4
121.388564,31.1901669999999,52,3.8,3.9,3.9,3.8
121.397779,31.190427,25,3.3,3.6,3.6,3.4
121.357325,31.1933909999999,36,3.5,3.5,3.5,3.5
121.371302999999,31.191963,16,3.7,3.7,3.7,3.8
121.367401,31.1920399999999,19,3.7,3.7,3.6,3.7
121.408653,31.189972,28,3.5,3.7,3.7,3.6
121.355215999999,31.211065,35,4.1,4.2,4.1,4.1
121.423930999999,31.199857,52,3.4,3.5,3.5,3.4
121.367448999999,31.191948,34,3.4,3.4,3.5,3.5
121.354499,31.208369,93,3.7,3.8,3.4,3.6
121.368155999999,31.190726,14,3.7,3.7,3.7,3.7
121.371065999999,31.192316,24,3.6,3.6,3.6,3.6
121.424775999999,31.200951,8,3.6,3.6,3.5,3.6
121.431071,31.2246789999999,9,3.8,3.8,3.8,3.8
121.371116,31.192256,26,3.7,3.7,3.7,3.7
121.424509999999,31.200375,16,3.7,3.7,3.7,3.8
121.343806,31.212361,25,3.5,3.5,3.5,3.5
121.368021999999,31.1904439999999,23,3.7,3.7,3.7,3.7
121.424453,31.200251,28,3.7,3.6,3.6,3.6
121.417354,31.1966129999999,16,3.6,3.5,3.5,3.5
121.429648,31.217726,14,3.5,3.4,3.4,3.5
121.42958,31.2164779999999,21,3.5,3.5,3.4,3.5
121.350720999999,31.185389,16,3.9,3.8,3.4,3.5
121.399120999999,31.1917049999999,22,3.5,3.6,3.6,3.6
121.407264999999,31.1884979999999,20,3.5,3.6,3.5,3.5
121.341470999999,31.19489,31,3.6,3.7,3.6,3.6
121.42662,31.23978,43,3.7,3.7,3.7,3.7
121.354129999999,31.190496,27,3.7,3.6,3.7,3.7
121.344087,31.194469,44,3.7,3.7,3.7,3.7
121.355751999999,31.204204,24,3.7,3.6,3.6,3.7
121.415931,31.191662,11,3.6,3.6,3.6,3.6
121.343973,31.191507,15,3.6,3.6,3.6,3.6
121.343322999999,31.184919,10,3.6,3.6,3.6,3.5
121.343928,31.211573,6,3.6,3.6,3.6,3.6
121.415274999999,31.182725,31,3.6,3.6,3.6,3.6
121.368781999999,31.1950399999999,17,3.5,3.5,3.5,3.5
121.37157,31.1914799999999,53,3.4,3.3,3.3,3.3
121.430774999999,31.215563,28,3.1,3.2,3.3,3.2
121.356596999999,31.19818,56,3.4,3.5,3.5,3.4
121.362341999999,31.191711,23,3,3,3.1,3.1
121.371257,31.192024,18,3.1,3.1,3.2,3.2
121.424732,31.2008669999999,23,3.4,3.5,3.4,3.5
121.420016,31.199473,20,3.3,3.3,3.5,3.4
121.355239999999,31.193646,13,3.3,3.2,3.2,3.2
121.341472999999,31.194903,34,3.6,3.4,3.3,3.3
121.418834,31.197776,92,4.2,4.1,4.2,4.2
121.408686,31.1898979999999,26,4.1,4.1,3.6,3.9
121.417477,31.196326,46,3.8,3.8,3.7,3.9
121.367834999999,31.190895,20,3.5,3.6,3.5,3.5
121.342455999999,31.1969439999999,27,3.8,3.7,3.8,3.7
121.426087999999,31.196552,12,3.5,3.6,3.5,3.5
121.422337999999,31.200592,45,3.4,3.4,3.5,3.4
121.350677,31.1870049999999,14,3.6,3.6,3.4,3.5
121.424913,31.201078,11,3.4,2.9,2.8,2.8
121.398482999999,31.188067,21,3.4,3.5,3.4,3.4
121.424578999999,31.2006039999999,24,3.4,3.5,3.6,3.5
121.367791999999,31.191082,3,3.3,3.4,3.4,3.3
121.362601999999,31.19189,60,2.7,2.8,2.8,2.8
121.408952999999,31.14387,23,4,3.8,3.9,3.8
121.3986,31.1666789999999,49,3.9,3.9,4.1,4
121.453501,31.2107619999999,19,4.3,4.3,3.7,4
121.45524,31.21669,42,4.5,4.5,4.5,4.6
121.450686,31.121157,24,4.3,4.2,4.1,4.3
121.400383,31.1748559999999,25,3.7,3.7,3.9,3.8
121.407702,31.149791,18,3.7,3.6,3.3,3.3
121.400205,31.1743349999999,31,4.5,4.5,4.4,4.4
121.441418999999,31.123073,10,3.8,3.8,3.7,3.8
121.454877999999,31.2180159999999,86,4.5,4.5,4.5,4.5
121.453293,31.216324,47,4.2,4.2,3.9,4.3
121.396321,31.164015,39,3.6,3.8,3.8,3.8
121.454059,31.218681,37,3.8,3.6,3.6,3.6
121.453665,31.2174359999999,88,4.5,4.5,4.2,4.4
121.394503999999,31.1661369999999,21,3.6,3.6,3.6,3.6
121.390863999999,31.1766739999999,28,3.6,3.6,3.5,3.5
121.393279,31.170471,20,3.6,3.4,3.6,3.5
121.394198,31.1673809999999,29,3.6,3.9,3.7,3.7
121.468096,31.2082109999999,25,3.6,3.6,3.6,3.6
121.394408999999,31.1658219999999,31,3.2,3.5,3.4,3.4
121.457834,31.204656,34,3.1,3.5,3.5,3.4
121.40738,31.149578,22,4,3.9,3.7,3.9
121.455347,31.216484,10,3.8,3.7,3.7,3.8
121.457229999999,31.20947,17,3.5,3.5,3.3,3.4
121.394125,31.167478,33,3.6,3.6,3.6,3.6
121.402135,31.160961,17,3.7,3.6,3.6,3.7
121.454882999999,31.214033,24,3.8,3.8,3.2,3.5
121.402039,31.161814,17,3.7,3.7,3.7,3.7
